"time{s}","Gain\output"
0,0
0,0
0,0
0.000625,0.000624999755859454
0.00116094874988946,0.00116094796910534
0.00223284624966837,0.00223284181958672
0.00437664124922619,0.00437660940627852
0.00652043624878401,0.00652034702772274
0.00866423124834183,0.00866404483045588
0.0129518212474575,0.0129513164211101
0.0172394112465731,0.0172383597452214
0.0215270012456888,0.0215250926512333
0.0301021812439201,0.0300971615313298
0.0472525412403826,0.0472332020618974
0.0644029012368452,0.0643549831309087
0.0815532612333078,0.0814577158470981
0.0987036212297704,0.0985364527106744
0.133004341222696,0.132603630357757
0.167305061215621,0.166516964801476
0.201605781208546,0.200234973774725
0.235906501201471,0.233716771151045
0.304507941187321,0.299817381668614
0.366249237174587,0.358110780533093
0.427990533161852,0.415039913340829
0.489731829149117,0.470387925391226
0.551473125136383,0.523943950699039
0.613214421123648,0.575503898935804
0.713214421123648,0.654277536740895
0.813214421123648,0.726511692542555
0.913214421123648,0.791485272733509
1.01321442112365,0.848550565673995
1.11321442112365,0.897137952066133
1.21321442112365,0.936761572680494
1.31321442112365,0.967025335012783
1.41321442112365,0.987627100998799
1.51321442112365,0.998361134095374
1.61321442112365,0.999119920704388
1.71321442112365,0.989895640487171
1.81321442112365,0.970780552250937
1.91321442112365,0.941965857024659
2.01321442112365,0.903739463497215
2.11321442112365,0.856483157293014
2.21321442112365,0.800669050588241
2.31321442112365,0.736854922968656
2.41321442112365,0.665678464672082
2.51321442112365,0.587850794536018
2.61321442112365,0.504149458070795
2.71321442112365,0.415410782091075
2.81321442112365,0.322521482376941
2.91321442112365,0.226409693706343
3.01321442112365,0.12803568434372
3.11321442112365,0.0283823440721604
3.21321442112365,-0.0715545967003811
3.31321442112365,-0.170776567076671
3.41321442112365,-0.268292183646702
3.51321442112365,-0.363127133775741
3.61321442112365,-0.45433386179479
3.71321442112365,-0.541001036641765
3.81321442112365,-0.622262696987378
3.91321442112365,-0.697306918103726
4.01321442112365,-0.765383897658718
4.11321442112365,-0.82581342598578
4.21321442112365,-0.87799169645237
4.31321442112365,-0.921397361118736
4.41321442112365,-0.955596736638368
4.51321442112365,-0.980248117776475
4.61321442112365,-0.995105187222076
4.71321442112365,-1.0000194913408
4.81321442112365,-0.994941932288578
4.91321442112365,-0.979923249651909
5.01321442112365,-0.955113503076528
5.11321442112365,-0.92076057665247
5.21321442112365,-0.877207712027587
5.31321442112365,-0.824890079209792
5.41321442112365,-0.764330420457344
5.51321442112364,-0.696133824158609
5.61321442112364,-0.620981684590306
5.71321442112364,-0.539624898092946
5.81321442112364,-0.452876357252131
5.91321442112364,-0.361602824029459
6.01321442112364,-0.266716270351236
6.11321442112364,-0.169164770221057
